num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,,
2022S000034,02/01/2022,0:05:00,CALL. MARIA TERESA SAENZ DE HEREDIA,6,6,15,CIUDAD LINEAL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,444462918,4474808752,S,NULL,
2022S000290,05/01/2022,10:45:00,PASEO. MARQUES DE MONISTROL / GTA. PUENTE DE SEGOVIA,1,10,LATINA,Colisión fronto-lateral,Se desconoce,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,438584377,4473973210,N,NULL,,
2022S000292,07/01/2022,13:55:00,CALL. PICO CLAVERO, 4A,4A,13,PUENTE DE VALLECAS,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 60 a 64 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,443492680,4472691807,N,NULL,
2022S000340,08/01/2022,3:00:00,CALL. HUERTAS,24,24,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,440663453,4473911843,N,NULL,
2022S000359,07/01/2022,18:40:00,PQUE. FUENTE CARRANTONA / AUTOV. M-23,0,14,MORATALAZ,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,446645011,4473884612,N,NULL,,
2022S000416,09/01/2022,14:20:00,CALL. ALCALA,69,69,4,SALAMANCA,Colisión lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,NULL,NULL,441492182,4474597275,N,NULL,
2022S000431,09/01/2022,23:30:00,CALL. ALCALA,291,291,15,CIUDAD LINEAL,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,2,Ingreso inferior o igual a 24 horas,444530881,4475945207,N,NULL,
2022S000432,10/01/2022,0:20:00,CALL. SAGASTA,30,30,1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,NULL,NULL,440862432,4475482512,N,NULL,
2022S000464,10/01/2022,14:29:00,CALL. ARACNE,29,29,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,449989339,4477254626,N,NULL,
2022S000477,10/01/2022,17:45:00,CUSTA. SAN VICENTE,1,1,1,CENTRO,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439540456,4474853177,N,NULL,
2022S000477,10/01/2022,17:45:00,CUSTA. SAN VICENTE,1,1,1,CENTRO,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,439540456,4474853177,N,NULL,
2022S000480,10/01/2022,17:45:00,GTA. LUXEMBURGO / AVDA. PARTENON,2,21,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,447427912,4479330469,N,NULL,,
2022S000501,10/01/2022,8:25:00,CALL. ARROYOFRESNO,24,24,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,437168035,4480967925,N,NULL,
2022S000521,11/01/2022,15:20:00,PASEO. INFANTA ISABEL / CALL. DOCTOR VELASCO,1,3,RETIRO,Colisión fronto-lateral,NULL,Bicicleta,Conductor,De 55 a 59 años,Hombre,NULL,NULL,441445395,4473281517,N,NULL,,
2022S000556,12/01/2022,8:15:00,PASEO. FERNAN NUÑEZ / CALL. ALFONSO XII,1,3,RETIRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441680228,4473487644,N,NULL,,
2022S000556,12/01/2022,8:15:00,PASEO. FERNAN NUÑEZ / CALL. ALFONSO XII,1,3,RETIRO,Atropello a persona,Despejado,Bicicleta,Peatón,De 45 a 49 años,Hombre,1,Atención en urgencias sin posterior ingreso,441680228,4473487644,N,NULL,,
2022S000735,14/01/2022,22:00:00,CALL. MARTINEZ IZQUIERDO / CALL. PILAR DE ZARAGOZA,4,4,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,443244501,4476111461,N,NULL,,
2022S000736,14/01/2022,23:52:00,CALL. CARACAS / CALL. FERNANDEZ DE LA HOZ,11,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,1,Atención en urgencias sin posterior ingreso,441034633,4475797555,N,NULL,,
2022S000788,15/01/2022,13:30:00,CALL. ELOY GONZALO / CALL. SANTA ENGRACIA,7,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,2,Ingreso inferior o igual a 24 horas,440711593,4476260492,N,NULL,,
2022S000907,16/01/2022,10:14:00,PASEO. CASTELLANA / CALL. AYALA,18,4,SALAMANCA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441532370,4475492588,N,NULL,,
2022S000910,16/01/2022,12:50:00,CALL. BRAVO MURILLO,12,12,7,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440268173,4476288527,N,NULL,
2022S000962,17/01/2022,12:10:00,CALL. FUENGIROLA / AVDA. ALBUFERA,1,13,PUENTE DE VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,445774873,4470855830,N,NULL,,
2022S000984,17/01/2022,16:50:00,CALL. SOFIA / AVDA. CANILLEJAS A VICALVARO,7,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,448218754,4474422707,N,NULL,,
2022S001014,17/01/2022,18:45:00,CALL. FRANCISCO VILLAESPESA / CALL. LEDESMA,1,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,445138586,4475584733,N,NULL,,
2022S001058,18/01/2022,19:55:00,CALL. BRAVO MURILLO / CALL. MANUEL LUNA,201,6,TETUÁN,Alcance,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,3,Ingreso superior a 24 horas,440417931,4478475411,N,NULL,,
