PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
28,79,4,1,28079004,2023,10,18,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,8,N,2,N,1,V,1,V,1,V,1,V,1,V,1,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,4,6,28079004,2023,10,18,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,N,0.6,N,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,4,7,28079004,2023,10,18,2,V,2,V,2,V,2,V,2,V,2,V,2,V,3,V,3,V,240,N,6,V,6,V,6,V,5,V,4,V,4,V,3,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,4,8,28079004,2023,10,18,6,V,4,V,3,V,3,V,2,V,3,V,7,V,13,V,19,V,27,N,19,V,12,V,11,V,8,V,7,V,9,V,7,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,4,12,28079004,2023,10,18,9,V,8,V,7,V,7,V,5,V,6,V,10,V,17,V,23,V,266,N,28,V,21,V,19,V,15,V,13,V,15,V,12,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,1,28079008,2023,10,18,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,6,28079008,2023,10,18,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.4,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,7,28079008,2023,10,18,2,V,1,V,1,V,1,V,1,V,1,V,3,V,7,V,10,V,14,V,13,V,12,V,12,V,9,V,8,V,8,V,8,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,8,28079008,2023,10,18,8,V,7,V,5,V,6,V,5,V,7,V,12,V,21,V,31,V,34,V,33,V,28,V,26,V,20,V,21,V,23,V,23,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,9,28079008,2023,10,18,3,V,5,V,5,V,6,V,6,V,1,V,1,V,5,V,8,V,7,V,6,V,4,V,3,V,3,V,3,V,10,V,13,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,10,28079008,2023,10,18,10,V,14,V,8,V,7,V,8,V,2,V,1,V,8,V,14,V,14,V,15,V,13,V,9,V,10,V,10,V,13,V,20,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,12,28079008,2023,10,18,11,V,9,V,6,V,8,V,6,V,9,V,17,V,32,V,47,V,56,V,53,V,46,V,44,V,34,V,33,V,35,V,35,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,14,28079008,2023,10,18,57,V,55,V,53,V,52,V,54,V,51,V,50,V,51,V,46,V,44,V,43,V,49,V,53,V,61,V,61,V,61,V,62,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,20,28079008,2023,10,18,0.4,V,0.3,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.4,V,1,V,2.4,V,2.4,V,1.8,V,1.6,V,1.3,V,1.2,V,1.1,V,1.3,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,30,28079008,2023,10,18,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.4,V,0.4,V,0.2,V,0.2,V,0.1,V,0.1,V,0.2,V,0.2,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,8,35,28079008,2023,10,18,0.2,V,0.3,V,0.1,V,0.4,V,0.3,V,0.1,V,0.1,V,0.1,V,0.1,V,0.3,V,0.3,V,0.3,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,11,7,28079011,2023,10,18,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,5,V,4,V,4,V,4,V,3,V,3,V,3,V,3,V,6,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,11,8,28079011,2023,10,18,8,V,6,V,5,V,5,V,3,V,3,V,5,V,13,V,20,V,18,V,16,V,12,V,8,V,9,V,10,V,11,V,12,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
28,79,11,12,28079011,2023,10,18,10,V,7,V,7,V,7,V,4,V,5,V,7,V,15,V,28,V,24,V,22,V,18,V,12,V,14,V,15,V,15,V,21,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N
